Date,DJIA
1/27/2003,7989.56
1/28/2003,8088.84
1/29/2003,8110.71
1/30/2003,7945.13
1/31/2003,8053.81
2/3/2003,8109.82
2/4/2003,8013.29
2/5/2003,7985.18
2/6/2003,7929.3
2/7/2003,7864.23
2/10/2003,7920.11
2/11/2003,7843.11
2/12/2003,7758.17
2/13/2003,7749.87
2/14/2003,7908.8
2/18/2003,8041.15
2/19/2003,8000.6
2/20/2003,7914.96
2/21/2003,8018.11
2/24/2003,7858.24
2/25/2003,7909.5
2/26/2003,7806.98
2/27/2003,7884.99
2/28/2003,7891.08
3/3/2003,7837.86
3/4/2003,7704.87
3/5/2003,7775.6
3/6/2003,7673.99
3/7/2003,7740.03
3/10/2003,7568.18
3/11/2003,7524.06
3/12/2003,7552.07
3/13/2003,7821.75
3/14/2003,7859.71
3/17/2003,8141.92
3/18/2003,8194.23
3/19/2003,8265.45
3/20/2003,8286.6
3/21/2003,8521.97
3/24/2003,8214.68
3/25/2003,8280.23
3/26/2003,8229.88
3/27/2003,8201.45
3/28/2003,8145.77
3/31/2003,7992.13
4/1/2003,8069.86
4/2/2003,8285.06
4/3/2003,8240.38
4/4/2003,8277.15
4/7/2003,8300.41
4/8/2003,8298.92
4/9/2003,8197.94
4/10/2003,8221.33
4/11/2003,8203.41
4/14/2003,8351.1
4/15/2003,8402.36
4/16/2003,8257.61
4/17/2003,8337.65
4/21/2003,8328.9
4/22/2003,8488.99
4/23/2003,8515.66
4/24/2003,8440.04
4/25/2003,8306.35
4/28/2003,8471.61
4/29/2003,8502.99
4/30/2003,8480.09
5/1/2003,8454.25
5/2/2003,8582.68
5/5/2003,8531.57
5/6/2003,8588.36
5/7/2003,8560.63
5/8/2003,8491.22
5/9/2003,8604.6
5/12/2003,8726.73
5/13/2003,8679.25
5/14/2003,8647.82
5/15/2003,8713.14
5/16/2003,8678.97
5/19/2003,8493.39
5/20/2003,8491.36
5/21/2003,8516.43
5/22/2003,8594.02
5/23/2003,8601.38
